trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,train_id,is_assigned,direction,stop_sequence,stop_id,arrival_delay,arrival_time,arrival_uncertainty,departure_delay,departure_time,departure_uncertainty,schedule_relationship_update,scheduled_track,actual_track,timestamp
104450_1..N03R,1,0,,20170820,0,01 1724+ SFT/242,True,1,0,103N,0,1503267600,0,0,1503267720,0,0,4,4,0
104450_1..N03R,1,0,,20170820,0,01 1724+ SFT/242,True,1,0,101N,0,1503267810,0,0,0,0,0,4,,0
104550_1..S03R,1,0,,20170820,0,01 1725+ 242/SFT,True,3,0,134S,0,1503267598,0,0,1503267598,0,0,1,1,0
104550_1..S03R,1,0,,20170820,0,01 1725+ 242/SFT,True,3,0,135S,0,1503267688,0,0,1503267688,0,0,1,,0
104550_1..S03R,1,0,,20170820,0,01 1725+ 242/SFT,True,3,0,136S,0,1503267748,0,0,1503267748,0,0,1,,0
104550_1..S03R,1,0,,20170820,0,01 1725+ 242/SFT,True,3,0,137S,0,1503267838,0,0,1503267928,0,0,1,,0
104550_1..S03R,1,0,,20170820,0,01 1725+ 242/SFT,True,3,0,138S,0,1503268018,0,0,1503268018,0,0,1,,0
104550_1..S03R,1,0,,20170820,0,01 1725+ 242/SFT,True,3,0,139S,0,1503268108,0,0,1503268108,0,0,1,,0
104550_1..S03R,1,0,,20170820,0,01 1725+ 242/SFT,True,3,0,142S,0,1503268228,0,0,0,0,0,1,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,111N,0,1503267733,0,0,1503267733,0,0,4,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,110N,0,1503267823,0,0,1503267823,0,0,4,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,109N,0,1503267883,0,0,1503267883,0,0,4,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,108N,0,1503267973,0,0,1503267973,0,0,4,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,107N,0,1503268063,0,0,1503268063,0,0,4,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,106N,0,1503268153,0,0,1503268153,0,0,4,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,104N,0,1503268243,0,0,1503268243,0,0,4,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,103N,0,1503268333,0,0,1503268453,0,0,4,,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0,101N,0,1503268543,0,0,0,0,0,4,,0
105350_1..S03R,1,0,,20170820,0,01 1733+ 242/SFT,True,3,0,133S,0,1503267621,0,0,1503267621,0,0,1,1,0
105350_1..S03R,1,0,,20170820,0,01 1733+ 242/SFT,True,3,0,134S,0,1503267711,0,0,1503267711,0,0,1,,0
