trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,train_id,is_assigned,direction,position_latitude,position_longitude,position_bearing,position_odometer,position_speed,current_stop_sequence,stop_id,stop_status,timestamp,congestion_level,occupancy_status
104450_1..N03R,1,0,,20170820,0,01 1724+ SFT/242,True,1,0.0,0.0,0.0,0.0,0.0,37,103N,1,1503267600,0,0
104550_1..S03R,1,0,,20170820,0,01 1725+ 242/SFT,True,3,0.0,0.0,0.0,0.0,0.0,32,134S,1,1503267568,0,0
105250_1..N03R,1,0,,20170820,0,01 1732+ SFT/242,True,1,0.0,0.0,0.0,0.0,0.0,30,111N,2,1503267613,0,0
105350_1..S03R,1,0,,20170820,0,01 1733+ 242/SFT,True,3,0.0,0.0,0.0,0.0,0.0,31,133S,1,1503267591,0,0
106050_1..N03R,1,0,,20170820,0,01 1740+ SFT/242,True,1,0.0,0.0,0.0,0.0,0.0,27,114N,1,1503267614,0,0
106150_1..S03R,1,0,,20170820,0,01 1741+ 242/SFT,True,3,0.0,0.0,0.0,0.0,0.0,26,128S,2,1503267605,0,0
106850_1..N03R,1,0,,20170820,0,01 1748+ SFT/242,True,1,0.0,0.0,0.0,0.0,0.0,22,119N,1,1503267600,0,0
106950_1..S03R,1,0,,20170820,0,01 1749+ 242/SFT,True,3,0.0,0.0,0.0,0.0,0.0,21,123S,1,1503267611,0,0
107650_1..N03R,1,0,,20170820,0,01 1756+ SFT/242,True,1,0.0,0.0,0.0,0.0,0.0,17,124N,1,1503267591,0,0
107750_1..S03R,1,0,,20170820,0,01 1757+ 242/SFT,True,3,0.0,0.0,0.0,0.0,0.0,15,117S,2,1503267612,0,0
108450_1..N03R,1,0,,20170820,0,01 1804+ SFT/242,True,1,0.0,0.0,0.0,0.0,0.0,12,129N,0,1503267607,0,0
108550_1..S03R,1,0,,20170820,0,01 1805+ 242/SFT,True,3,0.0,0.0,0.0,0.0,0.0,11,113S,1,1503267578,0,0
109150_1..N03R,1,0,,20170820,0,01 1811+ SFT/242,True,1,0.0,0.0,0.0,0.0,0.0,8,133N,1,1503267588,0,0
109350_1..S03R,1,0,,20170820,0,01 1813+ 242/SFT,True,3,0.0,0.0,0.0,0.0,0.0,6,108S,2,1503267607,0,0
103250_5..S16R,2,0,,20170820,0,02 1712+ DYR/SFT,True,3,0.0,0.0,0.0,0.0,0.0,33,138S,2,1503267609,0,0
103250_5..N16R,2,0,,20170820,0,02 1712+ SFT/DYR,True,1,0.0,0.0,0.0,0.0,0.0,35,501N,2,1503267445,0,0
104050_5..N16R,2,0,,20170820,0,02 1720+ SFT/DYR,True,1,0.0,0.0,0.0,0.0,0.0,34,502N,1,1503267604,0,0
104450_5..S16R,2,0,,20170820,0,02 1724+ DYR/SFT,True,3,0.0,0.0,0.0,0.0,0.0,27,132S,2,1503267615,0,0
104850_5..N16R,2,0,,20170820,0,02 1728+ SFT/DYR,True,1,0.0,0.0,0.0,0.0,0.0,29,214N,2,1503267611,0,0
105650_5..S16R,2,0,,20170820,0,02 1736+ DYR/SFT,True,3,0.0,0.0,0.0,0.0,0.0,22,127S,2,1503267613,0,0
105650_5..N16R,2,0,,20170820,0,02 1736+ SFT/DYR,True,1,0.0,0.0,0.0,0.0,0.0,23,220N,1,1503267572,0,0
106700_5..S16R,2,0,,20170820,0,02 1747  DYR/SFT,True,3,0.0,0.0,0.0,0.0,0.0,18,226S,1,1503267573,0,0
107250_5..N16R,2,0,,20170820,0,02 1752+ SFT/DYR,True,1,0.0,0.0,0.0,0.0,0.0,17,227N,2,1503267604,0,0
107900_5..S16R,2,0,,20170820,0,02 1759  DYR/SFT,True,3,0.0,0.0,0.0,0.0,0.0,11,218S,0,1503267606,0,0
108150_5..N16R,2,0,,20170820,0,02 1801+ SFT/DYR,True,1,0.0,0.0,0.0,0.0,0.0,13,128N,1,1503267603,0,0
109100_5..S16R,2,0,,20170820,0,02 1811  DYR/SFT,True,3,0.0,0.0,0.0,0.0,0.0,4,504S,2,1503267554,0,0
109450_5..N16R,2,0,,20170820,0,02 1814+ SFT/DYR,True,1,0.0,0.0,0.0,0.0,0.0,5,136N,1,1503267581,0,0
102250_5..S,5,0,,20170820,0,05 1702+ 180/FLA,True,3,0.0,0.0,0.0,0.0,0.0,30,246S,1,1503267588,0,0
103550_2..S12X050,5,0,,20170820,0,05 1715+ 180/FLA,True,3,0.0,0.0,0.0,0.0,0.0,27,239S,1,1503267566,0,0
103850_2..N12X050,5,0,,20170820,0,05 1718+ FLA/180,True,1,0.0,0.0,0.0,0.0,0.0,24,416N,1,1503267602,0,0
104650_2..S12X050,5,0,,20170820,0,05 1726+ 180/FLA,True,3,0.0,0.0,0.0,0.0,0.0,21,423S,0,1503267607,0,0
105050_2..N12X050,5,0,,20170820,0,05 1730+ FLA/180,True,1,0.0,0.0,0.0,0.0,0.0,22,626N,2,1503267615,0,0
105950_2..S12X050,5,0,,20170820,0,05 1739+ 180/FLA,True,3,0.0,0.0,0.0,0.0,0.0,16,635S,2,1503267610,0,0
106250_2..N12X050,5,0,,20170820,0,05 1742+ FLA/180,True,1,0.0,0.0,0.0,0.0,0.0,18,640N,1,1503267556,0,0
107050_2..S12X050,5,0,,20170820,0,05 1750+ 180/FLA,True,3,0.0,0.0,0.0,0.0,0.0,14,629S,2,1503267612,0,0
107450_2..N12X050,5,0,,20170820,0,05 1754+ FLA/180,True,1,0.0,0.0,0.0,0.0,0.0,15,420N,2,1503267612,0,0
108350_2..S12X050,5,0,,20170820,0,05 1803+ 180/FLA,True,3,0.0,0.0,0.0,0.0,0.0,10,222S,0,1503267607,0,0
108650_2..N12X050,5,0,,20170820,0,05 1806+ FLA/180,True,1,0.0,0.0,0.0,0.0,0.0,10,237N,2,1503267604,0,0
109550_2..S12X050,5,0,,20170820,0,05 1815+ 180/FLA,True,3,0.0,0.0,0.0,0.0,0.0,4,216S,1,1503267614,0,0
109900_2..N12X050,5,0,,20170820,0,05 1819  FLA/180,True,1,0.0,0.0,0.0,0.0,0.0,2,246N,1,1503267602,0,0
107600_3..S43R,3,0,,20170820,0,03 1756  148/14S,True,3,0.0,0.0,0.0,0.0,0.0,11,132S,2,1503267552,0,0
108600_3..N43R,3,0,,20170820,0,03 1806  14S/148,True,1,0.0,0.0,0.0,0.0,0.0,6,227N,2,1503267609,0,0
108800_3..S43R,3,0,,20170820,0,03 1808  148/14S,True,3,0.0,0.0,0.0,0.0,0.0,7,120S,1,1503267576,0,0
109800_3..N43R,3,0,,20170820,0,03 1818  14S/148,True,1,0.0,0.0,0.0,0.0,0.0,2,128N,2,1503267608,0,0
110000_3..S43R,3,0,,20170820,0,03 1820  148/14S,True,3,0.0,0.0,0.0,0.0,0.0,2,302S,2,1503267608,0,0
098850_4..S,4,0,,20170820,0,/4 1628+ WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,44,256S,1,1503267519,0,0
104800_4..N,4,0,,20170820,0,/4 1728  NLT/WDL,True,1,0.0,0.0,0.0,0.0,0.0,25,633N,1,1503267608,0,0
099650_4..S01X015,4,0,,20170820,0,04 1636+ WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,42,252S,1,1503266928,0,0
100450_4..S01X015,4,0,,20170820,0,04 1644+ WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,40,250S,1,1503267546,0,0
100800_4..N13R,4,0,,20170820,0,04 1648  NLT/WDL,True,1,0.0,0.0,0.0,0.0,0.0,51,406N,0,1503267603,0,0
101250_4..S01X015,4,0,,20170820,0,04 1652+ WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,39,249S,1,1503267286,0,0
101600_4..N13R,4,0,,20170820,0,04 1656  NLT/WDL,True,1,0.0,0.0,0.0,0.0,0.0,42,415N,1,1503267585,0,0
102050_4..S01X015,4,0,,20170820,0,04 1700+ WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,39,249S,0,1503267491,0,0
102400_4..N13R,4,0,,20170820,0,04 1704  NLT/WDL,True,1,0.0,0.0,0.0,0.0,0.0,36,625N,0,1503267610,0,0
102750_4..S01X015,4,0,,20170820,0,04 1707+ WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,36,238S,1,1503267613,0,0
103200_4..N13R,4,0,,20170820,0,04 1712  NLT/WDL,True,1,0.0,0.0,0.0,0.0,0.0,33,628N,1,1503267594,0,0
103650_4..S01X015,4,0,,20170820,0,04 1716+ WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,32,234S,1,1503267558,0,0
104000_4..N13R,4,0,,20170820,0,04 1720  NLT/WDL,True,1,0.0,0.0,0.0,0.0,0.0,31,630N,2,1503267580,0,0
104450_4..S01X015,4,0,,20170820,0,04 1724+ WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,29,419S,1,1503267603,0,0
105200_4..S01X015,4,0,,20170820,0,04 1732  WDL/NLT,True,3,0.0,0.0,0.0,0.0,0.0,27,640S,2,1503267609,0,0
