trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,train_id,is_assigned,direction,stop_sequence,stop_id,arrival_delay,arrival_uncertainty,departure_delay,departure_uncertainty,schedule_relationship_update,scheduled_track,actual_track,timestamp
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,114N,1,0,2,0,0,4,4,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,113N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,112N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,111N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,110N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,109N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,108N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,107N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,106N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,104N,3,0,4,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,103N,0,0,0,0,0,4,,0
129900_1..N,1,0,,20170811,0,/1 2139  SFT/242,True,1,0,101N,16,0,2,0,0,4,,0
128250_1..S03R,1,0,,20170811,0,01 2122+ 242/SFT,True,3,0,142S,0,0,0,0,0,1,4,0
128550_1..N03R,1,0,,20170811,0,01 2125+ SFT/242,True,1,0,101N,0,0,0,0,0,4,4,0
128850_1..S03R,1,0,,20170811,0,01 2128+ 242/SFT,True,3,0,137S,0,0,0,0,0,1,,0
128850_1..S03R,1,0,,20170811,0,01 2128+ 242/SFT,True,3,0,138S,0,0,0,0,0,1,,0
128850_1..S03R,1,0,,20170811,0,01 2128+ 242/SFT,True,3,0,139S,0,0,0,0,0,1,,0
128850_1..S03R,1,0,,20170811,0,01 2128+ 242/SFT,True,3,0,142S,0,0,0,0,0,1,,0
129000_1..N03R,1,0,,20170811,0,01 2130  SFT/242,True,1,0,106N,0,0,0,0,0,4,4,0
129000_1..N03R,1,0,,20170811,0,01 2130  SFT/242,True,1,0,104N,0,0,0,0,0,4,,0
